NM,pick/win,HD,pick/win,HR,pick/win
LiSA - Jet Rocket,,RIP SLYME - Super Shooter,ban,DJ Fresh - Gold Dust,
Mameyudoufu - Call My Name,,TOPHAMHAT-KYO - Princess Danshi,rr,School Food Punishment - deviswitch,rr
BTS - FIRE,,BUTAOTOME - Towa no Maigo,,Kikuo - Neko no Shokutaku,ban
Cranky vs. MASAKI - ouroboros -twin stroke of the end-,,,,,
Irreversible Mechanism - The Agony,ban,DT,,FM,
Icon For Hire - Cynics & Critics,br,DJ Noriken - Stargazer feat. YUC'e,rr,Memme - Sky of the Ocean,
Nekomata Master - Journey,rr,Can't Stop Won't Stop (feat. Fresh Big Mouf) - Mighty & High,br,Caramell - Caramelldansen,
,,Kugimiya Rie - Pre-Parade (Inst.),,Demetori - Silent Voyage to Eternity,br
TB,,colate feat. Nanahira - Good Night,ban,,
Noriko Mitose - Duel Alternatives,,,,,
